experiment_date,treatment,source,ops_type_merged,city_group,user_cnt,nonrepeat_cnt,trip_cnt,weekday_nonrepeat_cnt,weekend_nonrepeat_cnt,weekday_trip_cnt,weekend_trip_cnt,nonrepeat_cnt_per_user,trip_cnt_per_user,weekday_nonrepeat_cnt_per_user,weekend_nonrepeat_cnt_per_user,weekday_trip_cnt_per_user,weekend_trip_cnt_per_user,weekday_match_rate,weekend_match_rate,coupon_BD_total,coupon_CDP_total,coupon_folk_total,coupon_growth_other_total,coupon_MGM_total,coupon_MKT_total,coupon_register_total,coupon_daily_total,avg_rainy_day,avg_rainy_weekday,avg_rainy_weekend,mgm_day,nonrepeat_cnt_per_user_lag1,nonrepeat_cnt_per_user_lag2,nonrepeat_cnt_per_user_roll4,trip_cnt_per_user_lag1,trip_cnt_per_user_lag2,trip_cnt_per_user_roll4,weekday_nonrepeat_cnt_per_user_lag1,weekday_nonrepeat_cnt_per_user_lag2,weekday_nonrepeat_cnt_per_user_roll4,weekend_nonrepeat_cnt_per_user_lag1,weekend_nonrepeat_cnt_per_user_lag2,weekend_nonrepeat_cnt_per_user_roll4,weekday_trip_cnt_per_user_lag1,weekday_trip_cnt_per_user_lag2,weekday_trip_cnt_per_user_roll4,weekend_trip_cnt_per_user_lag1,weekend_trip_cnt_per_user_lag2,weekend_trip_cnt_per_user_roll4,weekday_match_rate_lag1,weekday_match_rate_lag2,weekday_match_rate_roll4,weekend_match_rate_lag1,weekend_match_rate_lag2,weekend_match_rate_roll4,delta_trip_per_user,delta_nonrepeat_per_user,ratio_trip_per_user,ratio_nonrepeat_per_user,face_value,face_value_num,coupon_BD_per_user_lag1,coupon_BD_per_user_lag2,coupon_BD_per_user_roll4,coupon_CDP_per_user_lag1,coupon_CDP_per_user_lag2,coupon_CDP_per_user_roll4,coupon_folk_per_user_lag1,coupon_folk_per_user_lag2,coupon_folk_per_user_roll4,coupon_growth_other_per_user_lag1,coupon_growth_other_per_user_lag2,coupon_growth_other_per_user_roll4,coupon_MGM_per_user_lag1,coupon_MGM_per_user_lag2,coupon_MGM_per_user_roll4,coupon_MKT_per_user_lag1,coupon_MKT_per_user_lag2,coupon_MKT_per_user_roll4,coupon_register_per_user_lag1,coupon_register_per_user_lag2,coupon_register_per_user_roll4,coupon_daily_per_user_lag1,coupon_daily_per_user_lag2,coupon_daily_per_user_roll4,coupon_BD_total_log1p,coupon_CDP_total_log1p,coupon_folk_total_log1p,coupon_growth_other_total_log1p,coupon_MGM_total_log1p,coupon_MKT_total_log1p,coupon_register_total_log1p,coupon_daily_total_log1p,coupon_BD_per_user_log1p_lag1,coupon_BD_per_user_log1p_lag2,coupon_BD_per_user_log1p_roll4,coupon_CDP_per_user_log1p_lag1,coupon_CDP_per_user_log1p_lag2,coupon_CDP_per_user_log1p_roll4,coupon_folk_per_user_log1p_lag1,coupon_folk_per_user_log1p_lag2,coupon_folk_per_user_log1p_roll4,coupon_growth_other_per_user_log1p_lag1,coupon_growth_other_per_user_log1p_lag2,coupon_growth_other_per_user_log1p_roll4,coupon_MGM_per_user_log1p_lag1,coupon_MGM_per_user_log1p_lag2,coupon_MGM_per_user_log1p_roll4,coupon_MKT_per_user_log1p_lag1,coupon_MKT_per_user_log1p_lag2,coupon_MKT_per_user_log1p_roll4,coupon_register_per_user_log1p_lag1,coupon_register_per_user_log1p_lag2,coupon_register_per_user_log1p_roll4,coupon_daily_per_user_log1p_lag1,coupon_daily_per_user_log1p_lag2,coupon_daily_per_user_log1p_roll4,has_national_holiday
2025-07-28,不發,控制組,14天在其他尖峰預估車資,中區,333,91,45,74,17,34,11,0.2732732732732733,0.1351351351351351,0.2222222222222222,0.051051051051051,0.1021021021021021,0.033033033033033,0.5235294117647059,0.7490909090909091,20,114,0,2,9,0,24,0,0.8979591836734694,0.0,0.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3.044522437723423,4.74493212836325,0.0,1.0986122886681098,2.302585092994046,0.0,3.2188758248682006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0
2025-08-04,不發,控制組,14天在其他尖峰預估車資,中區,1455,288,226,189,99,160,66,0.1979381443298969,0.1553264604810996,0.1298969072164948,0.068041237113402,0.1099656357388316,0.045360824742268,0.8428125,0.827121212121212,83,803,1,12,27,32,50,0,0.4285714285714285,0.0,0.0,0,0.2732732732732733,,,0.1351351351351351,,,0.2222222222222222,,,0.051051051051051,,,0.1021021021021021,,,0.033033033033033,,,0.5235294117647059,,,0.7490909090909091,,,,,,,0,0,0.013745704467353952,,,0.07835051546391752,,,0.0,,,0.0013745704467353953,,,0.006185567010309278,,,0.0,,,0.016494845360824743,,,0.0,,,4.430816798843313,6.6895992691789665,0.6931471805599453,2.5649493574615367,3.332204510175204,3.4965075614664802,3.9318256327243257,0.0,0.013652089168327311,,,0.0754325731274397,,,0.0,,,0.0013736265896119447,,,0.00616651491566398,,,0.0,,,0.016360283105206912,,,0.0,,,0
2025-08-18,不發,控制組,14天在其他尖峰預估車資,中區,798,132,109,95,37,73,36,0.1654135338345864,0.1365914786967418,0.119047619047619,0.0463659147869674,0.0914786967418546,0.0451127819548872,0.8636986301369863,0.9066666666666668,62,295,0,0,0,14,32,0,0.5918367346938774,0.0,0.0,0,0.1979381443298969,0.2732732732732733,,0.1553264604810996,0.1351351351351351,,0.1298969072164948,0.2222222222222222,,0.068041237113402,0.051051051051051,,0.1099656357388316,0.1021021021021021,,0.045360824742268,0.033033033033033,,0.8428125,0.5235294117647059,,0.827121212121212,0.7490909090909091,,0.020191325345964517,-0.07533512894337638,1.1494158075601375,0.7243230995808315,0,0,0.10401002506265664,0.02506265664160401,,1.006265664160401,0.14285714285714285,,0.0012531328320802004,0.0,,0.015037593984962405,0.002506265664160401,,0.03383458646616541,0.011278195488721804,,0.040100250626566414,0.0,,0.06265664160401002,0.03007518796992481,,0.0,0.0,,4.143134726391533,5.69035945432406,0.0,0.0,0.0,2.70805020110221,3.4965075614664802,0.0,0.09894902848637073,0.024753739152938287,,0.6962751155469059,0.13353139262452263,,0.0012523483164659011,0.0,,0.014925650216675683,0.0025031302181185303,,0.03327478888487222,0.011215070820140031,,0.03931710334083484,0.0,,0.060772038342094305,0.02963179760637115,,0.0,0.0,,0
2025-08-25,不發,控制組,14天在其他尖峰預估車資,中區,645,119,93,90,29,72,21,0.1844961240310077,0.1441860465116279,0.1395348837209302,0.0449612403100775,0.1116279069767441,0.0325581395348837,0.8518055555555555,0.737,35,225,0,4,0,20,9,0,0.8775510204081632,0.0,0.0,5,0.1654135338345864,0.1979381443298969,,0.1365914786967418,0.1553264604810996,,0.119047619047619,0.1298969072164948,,0.0463659147869674,0.068041237113402,,0.0914786967418546,0.1099656357388316,,0.0451127819548872,0.045360824742268,,0.8636986301369863,0.8428125,,0.9066666666666668,0.827121212121212,,-0.018734981784357813,-0.032524610495310496,0.8793831924945105,0.8356829573934834,0,0,0.09612403100775194,0.12868217054263567,,0.4573643410852713,1.2449612403100776,,0.0,0.0015503875968992248,,0.0,0.018604651162790697,,0.0,0.04186046511627907,,0.021705426356589147,0.04961240310077519,,0.04961240310077519,0.07751937984496124,,0.0,0.0,,3.58351893845611,5.420534999272286,0.0,1.6094379124341003,0.0,3.044522437723423,2.302585092994046,0.0,0.09178034910080027,0.12105073140091349,,0.3766295584682771,0.8086882561498893,,0.0,0.0015491869868293603,,0.0,0.01843370168883802,,0.0,0.04100802372737705,,0.021473217706734733,0.0484209561165025,,0.0484209561165025,0.07466152876901964,,0.0,0.0,,0
2025-09-01,不發,控制組,14天在其他尖峰預估車資,中區,710,112,89,79,33,68,21,0.1577464788732394,0.1253521126760563,0.1112676056338028,0.0464788732394366,0.0957746478873239,0.0295774647887323,0.8948529411764706,0.758095238095238,46,253,0,2,26,17,5,0,0.4693877551020408,0.0,0.0,2,0.1844961240310077,0.1654135338345864,0.2052802688671912,0.1441860465116279,0.1365914786967418,0.1428097802061511,0.1395348837209302,0.119047619047619,0.1526754080518165,0.0449612403100775,0.0463659147869674,0.052604860815374486,0.1116279069767441,0.0914786967418546,0.10379358538988312,0.0325581395348837,0.0451127819548872,0.03901619481626795,0.8518055555555555,0.8636986301369863,0.7704615243643123,0.737,0.9066666666666668,0.8049696969696969,0.0075945678148860996,0.019082590196421306,1.0556005973970561,1.1153629316420015,0,0,0.04929577464788732,0.08732394366197183,0.07042253521126761,0.31690140845070425,0.4154929577464789,0.5059859154929578,0.0,0.0,0.00035211267605633805,0.005633802816901409,0.0,0.006338028169014085,0.0,0.0,0.01267605633802817,0.028169014084507043,0.01971830985915493,0.02323943661971831,0.01267605633802817,0.04507042253521127,0.040492957746478875,0.0,0.0,0.0,3.8501476017100584,5.537334267018537,0.0,1.0986122886681098,3.295836866004329,2.8903717578961645,1.791759469228055,0.0,0.04811924834419841,0.08371957998941505,0.06805346324501567,0.2752815592533259,0.34747785045781504,0.4094477770716569,0.0,0.0,0.00035205069893621117,0.005617992304223282,0.0,0.006318027334560992,0.0,0.0,0.012596387685685584,0.02777956410707571,0.019526422350355264,0.02297351297497649,0.012596387685685584,0.04408427313201935,0.039694598684946854,0.0,0.0,0.0,0
2025-09-08,不發,控制組,14天在其他尖峰預估車資,中區,605,84,70,57,27,49,21,0.1388429752066115,0.1157024793388429,0.0942148760330578,0.0446280991735537,0.08099173553719,0.0347107438016528,0.926530612244898,0.8309523809523809,95,140,0,2,0,8,3,0,0.4693877551020407,0.0,0.0,0,0.1577464788732394,0.1844961240310077,0.17639857026718272,0.1253521126760563,0.1441860465116279,0.14036402459138142,0.1112676056338028,0.1395348837209302,0.12493675390471164,0.0464788732394366,0.0449612403100775,0.05146181636247088,0.0957746478873239,0.1116279069767441,0.10221172183618855,0.0295774647887323,0.0325581395348837,0.03815230275519278,0.8948529411764706,0.8518055555555555,0.8632924067172534,0.758095238095238,0.737,0.8072207792207791,-0.01883393383557158,-0.026749645157768315,0.8693775556565196,0.8550124275062138,0,0,0.07603305785123966,0.05785123966942149,0.09338842975206611,0.41818181818181815,0.371900826446281,0.6512396694214876,0.0,0.0,0.00041322314049586776,0.003305785123966942,0.006611570247933884,0.00743801652892562,0.04297520661157025,0.0,0.021900826446280993,0.02809917355371901,0.03305785123966942,0.03429752066115702,0.008264462809917356,0.01487603305785124,0.03966942148760331,0.0,0.0,0.0,4.564348191467836,4.948759890378168,0.0,1.0986122886681098,0.0,2.1972245773362196,1.3862943611198906,0.0,0.07328118417772778,0.05623971832287608,0.0892815255241689,0.3493756414571208,0.3161972427598021,0.5015263206177121,0.0,0.0,0.00041313778732640746,0.003300333028656799,0.00658980967905556,0.007410490890484753,0.042077404510371695,0.0,0.021664448370684125,0.02771163470833798,0.032523191705560034,0.03372247228104213,0.008230499136515471,0.014766470116301,0.038902798669599066,0.0,0.0,0.0,0
2025-09-15,不發,控制組,14天在其他尖峰預估車資,中區,676,128,93,99,29,60,33,0.1893491124260355,0.1375739644970414,0.1464497041420118,0.0428994082840236,0.0887573964497041,0.0488165680473372,0.7885000000000001,0.7715151515151515,91,121,0,0,0,8,15,0,0.5510204081632653,0.0,0.0,0,0.1388429752066115,0.1577464788732394,0.16162477798636138,0.1157024793388429,0.1253521126760563,0.13045802930581724,0.0942148760330578,0.1112676056338028,0.11601624610885239,0.0446280991735537,0.0464788732394366,0.04560853187750881,0.08099173553719,0.0957746478873239,0.09496824678577817,0.0347107438016528,0.0295774647887323,0.03548978252003898,0.926530612244898,0.8948529411764706,0.8842219347784779,0.8309523809523809,0.758095238095238,0.8081785714285713,-0.009649633337213415,-0.01890350366662788,0.9230197789952638,0.8801652892561982,0,0,0.14053254437869822,0.06804733727810651,0.08801775147928995,0.20710059171597633,0.3742603550295858,0.33764792899408286,0.0,0.0,0.0,0.0029585798816568047,0.0029585798816568047,0.0029585798816568047,0.0,0.038461538461538464,0.009615384615384616,0.011834319526627219,0.02514792899408284,0.021819526627218935,0.004437869822485207,0.0073964497041420114,0.018121301775147928,0.0,0.0,0.0,4.5217885770490405,4.804021044733257,0.0,0.0,0.0,2.1972245773362196,2.772588722239781,0.0,0.1314952975203654,0.06583206284986214,0.08435746399852813,0.18822127892114293,0.31791566277087446,0.29091279478924326,0.0,0.0,0.0,0.002954211897431478,0.002954211897431478,0.002954211897431478,0.0,0.03774032798284703,0.009569451016150707,0.01176484157958637,0.024836923146939142,0.021584887760561826,0.004428051515732037,0.0073692301065482755,0.017959067979752604,0.0,0.0,0.0,0
2025-09-22,不發,控制組,14天在其他尖峰預估車資,中區,726,116,89,93,23,62,27,0.1597796143250688,0.1225895316804407,0.128099173553719,0.0316804407713498,0.0853994490358126,0.0371900826446281,0.7975806451612903,0.8722222222222222,53,55,0,0,0,11,32,0,0.7551020408163265,0.1428571428571428,0.0,2,0.1893491124260355,0.1388429752066115,0.16760867263422363,0.1375739644970414,0.1157024793388429,0.13070365075589213,0.1464497041420118,0.0942148760330578,0.12286676738245059,0.0428994082840236,0.0446280991735537,0.044741905251772865,0.0887573964497041,0.08099173553719,0.09428792171274054,0.0488165680473372,0.0347107438016528,0.036415729043151476,0.7885000000000001,0.926530612244898,0.8654222772442313,0.7715151515151515,0.8309523809523809,0.7743906926406925,0.021871485158198506,0.050506137219423985,1.1890321217244302,1.3637644406875182,0,0,0.12534435261707988,0.13085399449035812,0.09194214876033058,0.16666666666666666,0.1928374655647383,0.25447658402203854,0.0,0.0,0.0,0.0,0.0027548209366391185,0.0027548209366391185,0.0,0.0,0.008953168044077135,0.011019283746556474,0.011019283746556474,0.01825068870523416,0.02066115702479339,0.004132231404958678,0.011019283746556474,0.0,0.0,0.0,3.9889840465642745,4.02535169073515,0.0,0.0,0.0,2.4849066497880004,3.4965075614664802,0.0,0.11808908003520678,0.12297309462763212,0.08795789859366063,0.15415067982725827,0.17633489373763908,0.22671842106387707,0.0,0.0,0.0,0.0,0.0027510333718898804,0.0027510333718898804,0.0,0.0,0.008913326066426282,0.010959013789719493,0.010959013789719493,0.01808614390779051,0.0204506104712908,0.004123717183862059,0.010959013789719493,0.0,0.0,0.0,0
2025-09-29,不發,控制組,14天在其他尖峰預估車資,中區,688,138,114,108,30,75,39,0.2005813953488372,0.1656976744186046,0.1569767441860465,0.0436046511627907,0.1090116279069767,0.0566860465116279,0.9373333333333332,0.8307692307692307,84,30,40,8,164,2,40,0,0.0,0.0,0.0,7,0.1597796143250688,0.1893491124260355,0.16142954520773892,0.1225895316804407,0.1375739644970414,0.12530452204809533,0.128099173553719,0.1464497041420118,0.12000783984064779,0.0316804407713498,0.0428994082840236,0.04142170536709094,0.0853994490358126,0.0887573964497041,0.08773080722750766,0.0371900826446281,0.0488165680473372,0.03757371482058758,0.7975806451612903,0.7885000000000001,0.851866049645665,0.8722222222222222,0.7715151515151515,0.808196248196248,-0.014984432816600696,-0.029569498100966707,0.8910808969459992,0.8438360881542696,0,0,0.07703488372093023,0.13226744186046513,0.10356104651162791,0.07994186046511628,0.17587209302325582,0.20675872093023256,0.0,0.0,0.0,0.0,0.0,0.0014534883720930232,0.0,0.0,0.00944767441860465,0.015988372093023256,0.011627906976744186,0.015988372093023256,0.046511627906976744,0.02180232558139535,0.01998546511627907,0.0,0.0,0.0,4.442651256490317,3.4339872044851463,3.713572066704308,2.1972245773362196,5.10594547390058,1.0986122886681098,3.713572066704308,0.0,0.07421178736274323,0.12422220793740461,0.09854226599251449,0.07690720678441551,0.16201007912514803,0.18793802232351228,0.0,0.0,0.0,0.0,0.0,0.001452433080314909,0.0,0.0,0.009403324261054793,0.0158619043004666,0.011560822401075985,0.0158619043004666,0.045462374076757336,0.021568053877321244,0.01978837730864821,0.0,0.0,0.0,1
2025-10-06,不發,控制組,14天在其他尖峰預估車資,中區,713,114,81,72,42,29,52,0.1598877980364656,0.1136044880785413,0.1009817671809256,0.0589060308555399,0.0406732117812061,0.0729312762973352,0.8786206896551725,0.8442307692307692,147,630,52,2,3,10,30,0,0.2244897959183673,0.0,0.0,1,0.2005813953488372,0.1597796143250688,0.17213827432663836,0.1656976744186046,0.1225895316804407,0.13539091248373242,0.1569767441860465,0.128099173553719,0.13143512447870873,0.0436046511627907,0.0316804407713498,0.04070314984792946,0.1090116279069767,0.0853994490358126,0.09104005223242087,0.0566860465116279,0.0371900826446281,0.04435086025131148,0.9373333333333332,0.7975806451612903,0.8624861476848806,0.8307692307692307,0.8722222222222222,0.8263647463647461,0.04310814273816391,0.04080178102376841,1.351646198066371,1.255362870890137,0,0,0.11781206171107994,0.07433380084151472,0.1132538569424965,0.04207573632538569,0.07713884992987377,0.12131837307152875,0.056100981767180924,0.0,0.014025245441795231,0.011220196353436185,0.0,0.0035063113604488078,0.2300140252454418,0.0,0.05750350631136045,0.002805049088359046,0.015427769985974754,0.010168302945301542,0.056100981767180924,0.04488078541374474,0.03155680224403927,0.0,0.0,0.0,4.997212273764115,6.447305862541213,3.970291913552122,1.0986122886681098,1.3862943611198906,2.3978952727983707,3.4339872044851463,0.0,0.1113732583759191,0.07170074932629536,0.10728712979260548,0.04121462430346323,0.07430831273337624,0.11450511185971299,0.05458380738559764,0.0,0.013927801744468749,0.01115771687065314,0.0,0.003500178582209662,0.2070255719578871,0.0,0.05591094759366013,0.002801122279711718,0.015309971971420429,0.010116953550341928,0.05458380738559764,0.04390279796526358,0.031069119627196273,0.0,0.0,0.0,1
